"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Authorization","0","Authentication via password","2","0","","0"
"0","Authorization","0","Authentication via password v2","2","0","","0"
