"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Авторизация через /login","553","Неуспешная авторизация с невалидным паролем","tests","Thu Aug 21 16:46:27 UTC 2025","passed","Thu Aug 21 16:46:27 UTC 2025","","test_login","",""
"Авторизация через /v2/login","592","Неуспешная авторизация с невалидным паролем v2","tests","Thu Aug 21 16:46:28 UTC 2025","passed","Thu Aug 21 16:46:28 UTC 2025","","test_login","",""
"Авторизация через /v2/login","562","Успешная авторизация с валидными данными v2","tests","Thu Aug 21 16:46:27 UTC 2025","passed","Thu Aug 21 16:46:28 UTC 2025","","test_login","",""
"Авторизация через /login","604","Успешная авторизация с валидными данными (устаревший метод)","tests","Thu Aug 21 16:46:26 UTC 2025","passed","Thu Aug 21 16:46:27 UTC 2025","","test_login","",""
